Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,1.006550644970285,1.1067811426370612e-27,0.1683125177656826,-2.01182739443985e-12,-0.06687720173043539,2.7330743664197617e-11
0.004015453343319404,1.006549933797526,-0.00026853864802039854,0.1683079052132053,-0.0003542181277861203,-0.06687448575962973,-0.0022974127750219012
0.010712576573509566,1.0065455832817454,-0.0007163581141117782,0.16827968752426295,-0.0009450033164080424,-0.066857869183634,-0.0061295200562493
0.01741413556456997,1.0065372693345396,-0.0011643120943987495,0.16822575829796638,-0.0015361987809590972,-0.06682610518142848,-0.00996524862393816
0.024120453308275065,1.0065249832345426,-0.0016123202081054669,0.16814605249254574,-0.0021278448870709604,-0.06677914291927324,-0.013805466109606587
0.030831462443984145,1.0065087164720594,-0.00206027539607619,0.16804050233643159,-0.0027199475386169764,-0.06671692387405656,-0.017650822625608804
0.037547098462298784,1.006488460601704,-0.0025080701649122673,0.16790903631693838,-0.0033125128325676894,-0.06663938113847065,-0.021501976871333733
0.04426730349088834,1.0064642072197345,-0.0029555967859877627,0.16775157896871917,-0.0039055473615661504,-0.06654643917773434,-0.025359599471329066
0.05099203245257301,1.0064359479174347,-0.0034027476476848196,0.16756805049720333,-0.004499058725801438,-0.06643801346842505,-0.029224377729615704
0.05772125358006273,1.0064036742414644,-0.0038494152258326687,0.1673583664370634,-0.00509305554691253,-0.06631401013595709,-0.03309701721092498
0.06445494871041722,1.0063673776537598,-0.004295492034513052,0.16712243729694629,-0.005687547462304069,-0.06617432556048627,-0.036978243259090875
0.07119312098543337,1.0063270494439847,-0.0047408710605414415,0.16686016788405314,-0.006282545773299952,-0.06601884576779256,-0.04086880686548608
0.07793579200195172,1.006282680687157,-0.0051854454900282475,0.1665714569094648,-0.006878063162011672,-0.06584744595836324,-0.04476948455702384
0.084683003642882,1.0062342621765494,-0.00562910873804397,0.16625619641909925,-0.007474113821256101,-0.06565998990321045,-0.04868108107415248
0.09143482460774846,1.006181784312192,-0.006071754776574299,0.1659142709204107,-0.008070713999736188,-0.06545632912542503,-0.05260443489709355
0.09819134255221831,1.006125237090782,-0.006513277507143117,0.16554555715319547,-0.008667881275704673,-0.06523630242865783,-0.0565404155481792
0.10495267624752147,1.0060646099382937,-0.006953571435962399,0.16514992281779964,-0.009265635599351032,-0.06499973476486241,-0.06048993266035978
0.11171895776225237,1.0059998917947,-0.007392530381227092,0.1647272269286274,-0.009863997685130913,-0.06474643702924543,-0.06445392771582281
0.11849033833357583,1.0059310710148182,-0.007830047724703184,0.16427731895007655,-0.010462989496655332,-0.06447620508406526,-0.06843337969106322
0.12526698938719544,1.005858135301807,-0.008266016333761445,0.16380003812369195,-0.0110626343023656,-0.06418881884523188,-0.07242930805272538
0.1320490709026661,1.00578107201789,-0.00870032638532927,0.1632952152446069,-0.01166295383958851,-0.06388404279384971,-0.07644275657724071
0.13883673651044232,1.0056998681587115,-0.0091328655747524,0.1627626722228917,-0.012263968724867347,-0.06356162510944532,-0.08047479878092594
0.14563010919887673,1.0056145106877883,-0.009563517452940162,0.16220222398817896,-0.01286569626001587,-0.06322129816805913,-0.0845265259967153
0.15242924834457552,1.0055249870759646,-0.0099921592652403,0.16161368173711918,-0.013468147463109275,-0.06286277982164253,-0.08859903002189826
0.15923411491173056,1.0054312859865768,-0.010418659751572178,0.1609968571478095,-0.014071323928981881,-0.062485775247967064,-0.0926933842310424
0.16604450905385384,1.0053333984927288,-0.01084287532572925,0.1603515701240632,-0.014675212233324547,-0.06208998096384337,-0.0968106073985925
0.17286000167508694,1.0052313196146152,-0.011264646057539074,0.15967765871173564,-0.015279777786472323,-0.061675090227934375,-0.10095162263946708
0.17967984546799395,1.0051250504333697,-0.011683790615190528,0.15897499292035921,-0.015884956850092186,-0.06124080096041202,-0.10511720222043841
0.18650283357500128,1.005014601394359,-0.012100098326277198,0.15824349657464665,-0.016490643884380124,-0.06078682884019614,-0.1093078778339249
0.19332715505573453,1.0048999961815623,-0.012513321537023375,0.15748317321207247,-0.0170966785831921,-0.060312923284490415,-0.11352384505766117
0.2001501902913159,1.0047812771828133,-0.012923164941820404,0.15669414290081285,-0.017702827545663557,-0.05981889077405523,-0.11776482579002669
0.20696829076763865,1.0046585119841795,-0.013329274800617961,0.15587668642811814,-0.018308764524763748,-0.05930462360556065,-0.12202991409141949
0.2137765407783467,1.0045318009991555,-0.013731228049608064,0.15503129773579463,-0.018914049036903906,-0.058770134922350496,-0.1263174023323562
0.2205685244975922,1.004401285837382,-0.014128522836671938,0.15415874215909392,-0.019518105423599996,-0.05821559882556611,-0.1306246007807105
0.22733616520150254,1.004267157022037,-0.014520574406618938,0.1532601113225095,-0.02012020832077573,-0.05764139005048275,-0.1349476922673808
0.23406969345455655,1.0041296595375802,-0.014906719360275628,0.1523368645307573,-0.020719479623149722,-0.05704811680106091,-0.13928165980990717
0.24075783310584772,1.0039890937258997,-0.015286232783236132,0.1513908397904328,-0.021314904895876785,-0.05643663566041058,-0.14362034880989888
0.24738822464745452,1.003845810147571,-0.01565835833759885,0.15042422464543104,-0.02190537102855028,-0.055808041477263266,-0.14795668473006446
0.253948092634092,1.0037001972496253,-0.016022350478500896,0.149439478253779,-0.022489725773777162,-0.055163625461203174,-0.15228306105952366
0.26042505839286106,1.0035526631377745,-0.016377522068607833,0.14843921254476644,-0.023066850397688476,-0.05450480506986651,-0.15659184380039134
0.26680793467089897,1.0034036148093697,-0.016723287647753306,0.14742605438689274,-0.02363573087570317,-0.0538330387086965,-0.1608758918409998
