Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,1.1468361732080665,-1.5967615538722358e-28,0.15226586567720682,4.22655849407406e-15,-0.2202181194224082,-6.81957391690748e-15
0.004101431802320625,1.1468345629081198,-0.0009032032774976915,0.1522636150098963,-0.0007852341933002373,-0.22021349595489834,-0.0010975021739450914
0.013500251455608629,1.146818727079025,-0.0029727745642688006,0.15224148083511224,-0.00258442965843791,-0.22016802661432897,-0.0036124645055490064
0.02290342301211447,1.146785965096069,-0.0050426480478809235,0.15219568321923146,-0.004383678751767595,-0.22007394713810943,-0.0061283735717605975
0.03231065033381654,1.146736265184469,-0.007112300403495272,0.15212619463745858,-0.006182380587061984,-0.219931202473916,-0.008644997972282843
0.04172165807161009,1.1466696226647595,-0.009181211915887486,0.15203299173827386,-0.007979937217907141,-0.2197397469031921,-0.011162111388406074
0.051136166751892365,1.1465860400260404,-0.01124886116411114,0.15191605543179001,-0.009775749116736569,-0.21949954420848344,-0.013679485906588344
0.06055388263519157,1.1464855270929537,-0.013314722972649564,0.15177537111453587,-0.011569213498111491,-0.21921056811473913,-0.016196889298719576
0.06997451377282926,1.1463681009474747,-0.015378272120367345,0.15161092855661643,-0.01335972764417106,-0.21887280203076634,-0.01871408930824905
0.07939777747003796,1.1462337858039393,-0.01743898514517547,0.15142272172824223,-0.01514669057074004,-0.21848623865987066,-0.02123085563211025
0.08882338280795239,1.1460826132224045,-0.019496336689430654,0.15121074910530283,-0.016929499957704035,-0.21805088058810096,-0.02374695523892236
0.0982510254426944,1.1459146222752845,-0.02154979856028152,0.1509750139158378,-0.018707551443172765,-0.21756674074458715,-0.0262621509754148
0.1076804030209649,1.1457298593423584,-0.023598843286889437,0.15071552387103632,-0.02048024181320833,-0.2170338417967541,-0.0287762056744161
0.11711121869770777,1.1455283780017083,-0.025642945057966902,0.15043229103527556,-0.022246969913915234,-0.21645221582480595,-0.03128888307832194
0.12654316421699197,1.1453102393700298,-0.02768157623336415,0.15012533233336478,-0.0240071337390016,-0.21582190529831463,-0.03379994331783951
0.1359759215748181,1.1450755121385503,-0.02971420791772577,0.14979466963738117,-0.025760131038882868,-0.21514296318284953,-0.03630914335219157
0.14540918684780674,1.1448242719763404,-0.03174031528719615,0.14944032896718398,-0.027505364020903988,-0.21441545122044295,-0.03881624329682615
0.15484264252577035,1.1445566021856395,-0.033759371809823566,0.14906234145974798,-0.02924223446756236,-0.21363944183562025,-0.04132099904843474
0.16427597562491808,1.1442725932236872,-0.03577085333442716,0.14866074274752658,-0.030970147366062458,-0.21281501676836292,-0.04382316708809513
0.17370885519229443,1.1439723433590978,-0.03777423348668024,0.14823557394515516,-0.032688507058923844,-0.2119422690026454,-0.04632249850057401
0.1831409662151102,1.1436559576150127,-0.03976899108765101,0.14778688021906333,-0.03439672371990789,-0.2110212997267922,-0.0488187479521164
0.19257197459513647,1.1433235488479072,-0.04175460290689475,0.14731471238558005,-0.03609420724207981,-0.21005222150439948,-0.05131166439368599
0.20200156083705328,1.1429752365830022,-0.04373055097997369,0.14681912533550526,-0.03778037360793941,-0.20903515492501423,-0.053800999959440106
0.21142938580619314,1.14261114818384,-0.045696315595334595,0.1463001797782052,-0.03945463899820182,-0.2079702320619219,-0.05628650089806231
0.2208551106961558,1.142231418132734,-0.04765137971134379,0.14575794130997521,-0.04111642367666881,-0.20685759443209562,-0.05876791283799753
0.2302784005987636,1.1418361878069487,-0.04959522987359958,0.14519248018807684,-0.04276515286683149,-0.2056973923989548,-0.061244981700727015
0.23969891608932162,1.141425605747728,-0.051527354653446523,0.14460387181483397,-0.04440025552287844,-0.20448978602625162,-0.06371745146000389
0.2491163061229033,1.1409998279473972,-0.05344724341146825,0.1439921972592074,-0.04602116339333097,-0.2032349460027057,-0.06618506226324665
0.25853022452647717,1.1405590170759676,-0.0553543898822824,0.1433575422625982,-0.04762731415768486,-0.20193305145136828,-0.06864755473817045
0.2679403240700224,1.1401033426470308,-0.057248291134460776,0.14269999759422272,-0.04921815063933152,-0.2005842905025351,-0.07110466840426545
0.2773462393435483,1.1396329818052238,-0.059128444344512594,0.1420196603168662,-0.05079311820375158,-0.19918886272823824,-0.07355613718336414
0.2867476227607653,1.139148117488209,-0.06099435422286417,0.14131663126548724,-0.052351671089440874,-0.19774697380358786,-0.0760016987666945
0.29614410931560786,1.1386489400867412,-0.06284552614548168,0.14059101758530196,-0.05389326674579107,-0.19625884054082543,-0.07844108539266538
0.3055353317070324,1.138135646636289,-0.06468146940275607,0.13984293171191983,-0.05541736866132919,-0.19472468862056921,-0.08087402776806707
0.3149209203676897,1.137608440722736,-0.06650169739842697,0.1390724913865163,-0.05692344662495475,-0.19314475244153162,-0.08330025504180748
0.3243004984309808,1.1370675326788822,-0.06830572687741364,0.13827982010360992,-0.05841097618609937,-0.1915192758528509,-0.08571949347245461
0.333673691330002,1.1365131389445968,-0.07009307998039413,0.13746504634128787,-0.059879440448805936,-0.18984851038536252,-0.08813146887272362
0.343040115349156,1.1359454826283517,-0.07186328224161699,0.1366283045570614,-0.06132832851656642,-0.18813271709950574,-0.09053590362066533
0.3523993782249451,1.135364793407615,-0.07361586294842364,0.13576973522823027,-0.06275713589846964,-0.1863721664700059,-0.09293251679329644
0.36175108949169293,1.1347713067923724,-0.07535035729558148,0.1348894839530374,-0.06416536636673562,-0.1845671363411976,-0.09532102678324257
0.37109484407054033,1.1341652650501375,-0.07706630353805159,0.1339877030165443,-0.06555252973849603,-0.1827179149332029,-0.09770114706566611
0.38043024066182957,1.1335469159333789,-0.07876324661866109,0.1330645497067308,-0.06691814492031112,-0.18082479718122613,-0.1000725908601475
0.3897568687238879,1.1329165133946697,-0.08044073596839109,0.13212018758515395,-0.06826173821988803,-0.17888808713078633,-0.10243506776747426
0.399074298857465,1.1322743181657986,-0.0820983240575354,0.13115478758442486,-0.06958284230791124,-0.17690809997616985,-0.10478828131980791
0.4083821061200756,1.1316205960710872,-0.08373557082458023,0.1301685257110865,-0.07088099987009767,-0.17488515713523223,-0.10713193485411511
0.41767985467428514,1.1309556189423806,-0.08535204114192924,0.1291615846511683,-0.07215576167775395,-0.17281958932634844,-0.10946572758686231
0.42696710651962366,1.1302796638795398,-0.08694730658011511,0.1281341528973858,-0.07340668808822579,-0.17071173456129313,-0.11178935677529148
0.43624340426611263,1.1295930143768178,-0.08852094268641492,0.12708642671463088,-0.0746333470167951,-0.1685619419602797,-0.11410251337278024
0.4455082881852612,1.1288959589700154,-0.09007253218972627,0.12601860835224424,-0.07583531656868095,-0.16637056786756005,-0.11640488627452672
0.4547612820258354,1.1281887921583333,-0.09160166285772917,0.12493090772538147,-0.07701218348280375,-0.16413797908517835,-0.11869615875482561
0.464001902224676,1.1274718135915631,-0.09310792933120078,0.12382354145889295,-0.07816354467767539,-0.16186455069633596,-0.12097601074113509
0.47322965942794076,1.1267453277953674,-0.09459093360896052,0.12269673274976903,-0.07928900772760492,-0.1595506655691637,-0.12324411915248246
0.4824440420510019,1.126009645324554,-0.09605028268745804,0.12155071346085677,-0.08038818919447291,-0.15719671844575311,-0.12550015383963808
0.49164453268276326,1.125265081341426,-0.09748559151944614,0.12038572223814345,-0.08146071701068006,-0.15480311187016016,-0.1277437816151718
0.5008306046510734,1.1245119557162921,-0.09889648271847482,0.11920200498174521,-0.0825062303657412,-0.15237025695193143,-0.12997466538099542
0.5100017117662368,1.1237505937136067,-0.10028258528996943,0.11799981626209692,-0.08352437890038134,-0.14989857607934381,-0.13219246163063514
0.5191573001066384,1.1229813248697011,-0.101643536765653,0.11677941790634679,-0.08451482442849927,-0.1473884998232308,-0.13439682331340438
0.5282967939206572,1.1222044840042074,-0.10297898141459576,0.11554108095995066,-0.08547723977119875,-0.1448404707869391,-0.13658739643657608
0.537419609242076,1.121420409909988,-0.1042885726142369,0.11428508398371477,-0.08641131063356715,-0.14225493992879268,-0.13876382335947612
0.5465251470313238,1.1206294457451358,-0.10557197215490678,0.11301171405337974,-0.08731673523895106,-0.13963236845103477,-0.1409257411509018
0.5556127937674792,1.1198319387981162,-0.1068288506731241,0.11172126677813646,-0.08819322479203055,-0.13697322768198472,-0.14307278175268934
